DEBUG: x=0.000454, struve=0.000000
DEBUG: x=0.000909, struve=0.000001
DEBUG: x=0.001363, struve=0.000002
DEBUG: x=0.001818, struve=0.000003
DEBUG: x=0.002272, struve=0.000005
DEBUG: x=0.002726, struve=0.000007
DEBUG: x=0.003181, struve=0.000010
DEBUG: x=0.003635, struve=0.000013
DEBUG: x=0.004089, struve=0.000017
DEBUG: x=0.004544, struve=0.000020
DEBUG: x=0.004998, struve=0.000025
DEBUG: x=0.005453, struve=0.000029
DEBUG: x=0.005907, struve=0.000035
DEBUG: x=0.006361, struve=0.000040
DEBUG: x=0.006816, struve=0.000046
DEBUG: x=0.007270, struve=0.000052
DEBUG: x=0.007724, struve=0.000059
DEBUG: x=0.008179, struve=0.000066
DEBUG: x=0.008633, struve=0.000074
DEBUG: x=0.009088, struve=0.000082
DEBUG: x=0.009542, struve=0.000090
DEBUG: x=0.009996, struve=0.000099
DEBUG: x=0.010451, struve=0.000108
DEBUG: x=0.010905, struve=0.000118
DEBUG: x=0.011359, struve=0.000128
DEBUG: x=0.011814, struve=0.000138
DEBUG: x=0.012268, struve=0.000149
DEBUG: x=0.012723, struve=0.000160
DEBUG: x=0.013177, struve=0.000172
DEBUG: x=0.013631, struve=0.000184
DEBUG: x=0.014086, struve=0.000197
DEBUG: x=0.014540, struve=0.000209
DEBUG: x=0.014994, struve=0.000223
DEBUG: x=0.015449, struve=0.000236
DEBUG: x=0.015903, struve=0.000251
DEBUG: x=0.016358, struve=0.000265
DEBUG: x=0.016812, struve=0.000280
DEBUG: x=0.017266, struve=0.000295
DEBUG: x=0.017721, struve=0.000311
DEBUG: x=0.018175, struve=0.000327
DEBUG: x=0.018629, struve=0.000344
DEBUG: x=0.019084, struve=0.000361
DEBUG: x=0.019538, struve=0.000378
DEBUG: x=0.019993, struve=0.000396
DEBUG: x=0.020447, struve=0.000414
DEBUG: x=0.020901, struve=0.000433
DEBUG: x=0.021356, struve=0.000452
DEBUG: x=0.021810, struve=0.000471
DEBUG: x=0.022264, struve=0.000491
DEBUG: x=0.022719, struve=0.000511
DEBUG: x=0.023173, struve=0.000532
DEBUG: x=0.023628, struve=0.000553
DEBUG: x=0.024082, struve=0.000575
DEBUG: x=0.024536, struve=0.000597
DEBUG: x=0.024991, struve=0.000619
DEBUG: x=0.025445, struve=0.000642
